"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 15 18:03:59 CST 2022","Mon Aug 15 18:04:00 CST 2022","397","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","Given I am on the home page","Given I am on the home page",""
"passed","Mon Aug 15 18:03:48 CST 2022","Mon Aug 15 18:03:48 CST 2022","171","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","Then I could see different page","Then I could see different page",""
"passed","Mon Aug 15 18:03:37 CST 2022","Mon Aug 15 18:03:55 CST 2022","17437","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","Given I am on the home page","Given I am on the home page",""
"skipped","Mon Aug 15 18:04:00 CST 2022","Mon Aug 15 18:04:00 CST 2022","1","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","When I type with asdfdsfd, fdsafsa@hotmail.com and asdfdsaf","When I type with asdfdsfd, fdsafsa@hotmail.com and asdfdsaf",""
"passed","Mon Aug 15 18:03:57 CST 2022","Mon Aug 15 18:03:59 CST 2022","1742","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","When I type with asdfds, fdsafsa and asdfdsaf","When I type with asdfds, fdsafsa and asdfdsaf",""
"passed","Mon Aug 15 18:03:36 CST 2022","Mon Aug 15 18:03:48 CST 2022","12009","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","Given I am on the home page","Given I am on the home page",""
"passed","Mon Aug 15 18:03:55 CST 2022","Mon Aug 15 18:03:55 CST 2022","1","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","","",""
"passed","Mon Aug 15 18:03:48 CST 2022","Mon Aug 15 18:03:49 CST 2022","370","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","Given I am on the home page","Given I am on the home page",""
"passed","Mon Aug 15 18:03:49 CST 2022","Mon Aug 15 18:03:49 CST 2022","513","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","When I click on the media icons","When I click on the media icons",""
"passed","Mon Aug 15 18:03:50 CST 2022","Mon Aug 15 18:03:51 CST 2022","686","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","When I type with asdfds, fdsafsa and asdfdsaf","When I type with asdfds, fdsafsa and asdfdsaf",""
"passed","Mon Aug 15 18:03:55 CST 2022","Mon Aug 15 18:03:55 CST 2022","343","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","Given I am on the home page","Given I am on the home page",""
"passed","Mon Aug 15 18:03:51 CST 2022","Mon Aug 15 18:03:51 CST 2022","0","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","","",""
"passed","Mon Aug 15 18:03:55 CST 2022","Mon Aug 15 18:03:55 CST 2022","306","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","When I click on the swiper","When I click on the swiper",""
"passed","Mon Aug 15 18:03:57 CST 2022","Mon Aug 15 18:03:57 CST 2022","1","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","","",""
"passed","Mon Aug 15 18:03:55 CST 2022","Mon Aug 15 18:03:55 CST 2022","189","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","Then I could see different page","Then I could see different page",""
"skipped","Mon Aug 15 18:04:00 CST 2022","Mon Aug 15 18:04:00 CST 2022","1","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","Then I should see a flash message saying 立即查詢","Then I should see a flash message saying 立即查詢",""
"passed","Mon Aug 15 18:03:49 CST 2022","Mon Aug 15 18:03:49 CST 2022","0","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","","",""
"passed","Mon Aug 15 18:03:51 CST 2022","Mon Aug 15 18:03:51 CST 2022","628","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","Given I am on the home page","Given I am on the home page",""
"passed","Mon Aug 15 18:03:48 CST 2022","Mon Aug 15 18:03:48 CST 2022","1","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","","",""
"passed","Mon Aug 15 18:03:49 CST 2022","Mon Aug 15 18:03:49 CST 2022","228","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","Then I will be redirected to corresponding social media","Then I will be redirected to corresponding social media",""
"passed","Mon Aug 15 18:03:48 CST 2022","Mon Aug 15 18:03:48 CST 2022","165","","The apoidea media web page: As a user, I could swipe the clients board","","The apoidea media web page: As a user, I could swipe the clients board","When I click on the swiper","When I click on the swiper",""
"passed","Mon Aug 15 18:04:00 CST 2022","Mon Aug 15 18:04:00 CST 2022","0","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","","",""
"skipped","Mon Aug 15 18:03:51 CST 2022","Mon Aug 15 18:03:51 CST 2022","1","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","Then I should see a flash message saying 立即查詢","Then I should see a flash message saying 立即查詢",""
"skipped","Mon Aug 15 18:03:51 CST 2022","Mon Aug 15 18:03:51 CST 2022","0","","The apoidea media web page: As a user, I can log into the secure area","","The apoidea media web page: As a user, I can log into the secure area","When I type with asdfdsfd, fdsafsa@hotmail.com and asdfdsaf","When I type with asdfdsfd, fdsafsa@hotmail.com and asdfdsaf",""
"passed","Mon Aug 15 18:03:55 CST 2022","Mon Aug 15 18:03:57 CST 2022","1509","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","When I click on the media icons","When I click on the media icons",""
"passed","Mon Aug 15 18:03:57 CST 2022","Mon Aug 15 18:03:57 CST 2022","150","","The apoidea media web page: As a user, I could direct to other social medias","","The apoidea media web page: As a user, I could direct to other social medias","Then I will be redirected to corresponding social media","Then I will be redirected to corresponding social media",""
